bid_count_1,bid_weight_count_1,bid_val_0,bid_weight_val_2,bid_val_2,ask_count_2,ask_weight_count_1,bid_count_2,ask_val_2,ask_val_1,ask_val_0,bid_weight_val_1,bid_val_1,bid_count_0,datetime,ask_weight_val_2,ask_count_0,bid_weight_count_2,ask_weight_val_1,ask_weight_count_2,ask_count_1
5.375,11.724,0.056698,0.05660072397365392,0.056674,16.478,22.074,0.096,0.05673,0.056728,0.056727,0.056673266120777895,0.056697,2.724,2018-08-08 18:49:57.351552,0.056760542282166565,2.462,31.276,0.05672955812267826,60.723000000000006,2.247
5.375,11.138,0.056698,0.056588485013406964,0.056619,0.412,19.218000000000004,0.019,0.056725,0.056724,0.056723,0.05667200439935356,0.056697,2.211,2018-08-08 18:50:01.319995,0.05677589223978526,2.286,37.667,0.056724972629826204,83.82500000000002,6.741
5.375,11.052,0.0567,0.05658834748942284,0.056619,9.737,24.688000000000002,0.019,0.056722,0.056721,0.05672,0.05667218666304741,0.056697,2.125,2018-08-08 18:50:06.237827,0.05676813068131381,12.247,37.581,0.05672100469863902,90.12,2.31
2.125,11.42,0.056701,0.05659980949017593,0.056697,6.741,29.122,5.375,0.05672,0.056719,0.056718,0.05667328432574431,0.0567,0.391,2018-08-08 18:50:10.203101,0.05676544372280724,0.352,31.148,0.05671941861822676,95.154,19.737
0.019,10.991,0.05662,0.056571096798836824,0.056618,6.369,34.02,3.51,0.0567,0.056698,0.056697,0.056618316076790104,0.056619,7.239,2018-08-08 18:50:14.444076,0.056737055466782225,12.178,40.579,0.056699789506172826,73.846,7.82
0.326,5.0009999999999994,0.056621,0.05656298996790887,0.056619,1.391,24.522,0.019,0.056692,0.056691,0.056622,0.05661880323935213,0.05662,1.123,2018-08-08 18:50:18.544922,0.056726454676864525,0.03,34.589,0.05669403653861838,54.652,12.178
1.202,5.5089999999999995,0.056625,0.05657225505158194,0.056619,0.352,15.818999999999999,0.019,0.056687,0.056686,0.056685,0.056620267743692144,0.056624,0.755,2018-08-08 18:50:22.616237,0.056688367424398686,12.134,110.213,0.05668598217333586,24.239000000000004,0.03
0.057,7.547,0.056627,0.05657380371544835,0.056624,10.0,13.562,1.138,0.056679,0.056676,0.056675,0.05662233417251888,0.056626,2.823,2018-08-08 18:50:26.917769,0.056680180256017815,1.789,109.112,0.056679186181979056,14.373999999999999,0.03
7.49,16.746000000000002,0.056631,0.05658300464354257,0.056628,0.352,2.384,5.35,0.056673,0.05667,0.056669,0.05662910157649588,0.05663,2.711,2018-08-08 18:50:30.991652,0.05676539158592299,1.772,106.815,0.05667173825503356,19.919,0.03
2.768,17.899,0.056638,0.05663151385729538,0.056635,0.352,2.7359999999999998,0.9,0.056669,0.056662,0.056661,0.05663422727526678,0.056637,1.391,2018-08-08 18:50:35.657903,0.056763254748162406,1.772,21.541,0.056667955409356735,20.271,0.03
